"scalar_flux","subdomain","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
9.9999,0,1,7.33,7.33,8,0
9.9999,0,1,7.34,7.34,8,0
9.9999,0,1,7.35,7.35,8,0
9.9999,0,1,7.36,7.36,8,0
9.9999,0,1,7.37,7.37,8,0
9.9999,0,1,7.38,7.38,8,0
9.9999,0,1,7.39,7.39,8,0
9.9999,0,1,7.4,7.4,8,0
9.9999,0,1,7.41,7.41,8,0
9.9999,0,1,7.42,7.42,8,0
9.9999,0,1,7.43,7.43,8,0
9.9999,0,1,7.44,7.44,8,0
9.9999,0,1,7.45,7.45,8,0
9.9999,0,1,7.46,7.46,8,0
9.9999,0,1,7.47,7.47,8,0
9.9999,0,1,7.48,7.48,8,0
9.9999,0,1,7.49,7.49,8,0
9.9999,0,1,7.5,7.5,8,0
9.9999,0,1,7.51,7.51,8,0
9.9999,0,1,7.52,7.52,8,0
9.9999,0,1,7.53,7.53,8,0
9.9999,0,1,7.54,7.54,8,0
9.9999,0,1,7.55,7.55,8,0
9.9999,0,1,7.56,7.56,8,0
9.9999,0,1,7.57,7.57,8,0
9.9999,0,1,7.58,7.58,8,0
9.9999,0,1,7.59,7.59,8,0
9.9999,0,1,7.6,7.6,8,0
9.9999,0,1,7.61,7.61,8,0
9.9999,0,1,7.62,7.62,8,0
9.9999,0,1,7.63,7.63,8,0
9.9999,0,1,7.64,7.64,8,0
